,Date,prix moyen au kg,"Production quantité 
tonne(s)",Température minimale en °C,Température maximale en °C,précipitations en mm,Ensoleillement en min,Rafales (vitesse du vent) en km/h
145,01/10/20,1.05,0.1,12.8,16.6,11.1,107,51.5
146,22/09/20,1.05,0.1,6.9,25.4,0.0,594,39.6
147,04/09/20,1.1,0.8,12.0,30.3,0.0,693,28.8
148,01/09/20,1.1,0.05,8.2,21.3,0.0,594,36.0
149,28/08/20,1.45,0.2,13.4,23.2,0.2,324,64.8
150,09/07/20,1.8,0.08,12.7,32.1,0.0,865,57.6
151,15/10/19,1.5,0.15,12.3,16.5,0.2,159,50.4
152,14/10/19,1.0,0.1,11.7,24.7,10.1,223,80.6
153,01/10/19,1.4,0.2,15.6,21.4,6.5,103,61.2
154,30/08/19,1.6,0.3,11.6,29.3,0.0,719,25.6
155,20/08/19,1.75,0.1,10.1,24.1,0.0,618,25.9
156,08/07/19,1.8,0.4,14.2,24.8,0.0,810,43.2
157,24/09/18,1.5,0.05,5.8,17.1,0.0,573,51.8
158,14/09/18,1.5,0.05,9.2,22.8,0.0,625,29.9
159,03/09/18,1.5,0.05,9.3,25.2,0.0,374,39.6
160,26/09/17,1.05,0.07,11.6,19.7,0.2,37,19.4
161,22/09/17,1.1,0.3,9.8,19.3,0.0,263,28.8
162,13/09/17,1.1,0.08,14.6,19.7,21.8,0,79.2
163,29/08/17,1.1,0.1,16.4,34.9,0.0,729,39.6
164,17/08/17,1.5,0.24,16.1,24.5,15.3,76,43.2
165,18/10/16,1.1,0.04,4.8,16.5,2.2,391,46.3
166,09/09/16,1.05,0.44,9.7,27.5,0.0,709,24.5
167,11/08/16,1.3,0.24,6.4,23.6,0.0,642,40.7
168,28/06/16,1.3,0.15,14.0,23.5,0.4,222,37.4
169,13/07/15,1.1,0.6,15.2,29.9,0.0,666,42.8
170,30/07/14,0.8,0.2,14.0,25.6,0.0,373,27.8
171,19/06/14,1.4,0.384,10.5,22.1,0.2,540,28.1
172,20/08/13,0.7,0.08,8.0,25.0,0.0,769,28.4
173,02/08/13,1.1,0.39,19.5,31.3,0.6,822,44.6
174,18/09/12,0.9,0.1,10.3,20.1,0.0,126,34.2
175,22/08/12,1.2,1.0,11.7,25.5,0.0,744,27.8
176,20/08/12,1.25,0.7,16.8,31.8,0.0,528,20.4
